answer,clue 1,clue 2,clue 3,clue 4,clue 5
PINAP BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,Loamy-soil berry crop
PINCURCHIN,Sea Urchin Pokemon,Gen VIII Electric species,Water1 egg-group species,,
PINECO,Bagworm Pokemon,Gen II Bug species,Bug egg-group species,,
PINK NECTAR,species specific,,,,
PINK PETAL,Part of the Rainbow Flower,Needed for Mina's Rainbow Flower,One of seven trial finds,Mina's trial collectible,Unlocks progression content
PINK SCARF,Power item for A Pokemon Contest,A Pokemon Contest-only held item,A Pokemon Contest Its Cuteness In The Primary Round boost item,,
PIN MISSILE,Bug physical move,Gen I Bug move,25-power move,,
PINSIR,Stag Beetle Pokemon,Mega form turns Bug/Flying,Gen I Bug species,Bug egg-group species,
PINSIRITE,Pinsir Mega stone,Mega Evolution stone,Held stone for Pinsir,Held Mega stone,Mega trigger stone
PIPLUP,Penguin Pokemon,Gen IV Water species,Water1 egg-group species,,
PIXIE PLATE,The Holder'S Fairy-Type Moves By Power boost item,Boosts Fairy moves for The Holder',Fairy-move booster,Signature orb for The Holder',Species-specific power orb
PIXILATE,Sylveon's signature Ability,Weather-linked trait,,,
PLASMA CARD,Unlocks progression content,Progress-gating key item,Story or event key item,Story-progress key item,Plot-critical key
PLASMA FISTS,Electric physical move,Gen VII Electric move,100-power move,,
PLASMA FRIGATE,Unova city,Unova landmark,City in Unova,,
PLAY NICE,Normal status move,Gen VI Normal move,debuffing move,,
PLAY ROUGH,Fairy physical move,Gen VI Fairy move,90-power move,debuffing move,
PLEDGE GROVE,Unova town,Unova landmark,Town-side landmark,Town in Unova,
PLUCK,Flying physical move,Gen IV Flying move,60-power move,,
PLUME FOSSIL,Revives into Archen,Gen V relic for Archen,Prehistoric revival item,,
PLUS,Plusle's signature Ability,Gen III ability,boosting ability,,
PLUSLE,Cheering Pokemon,Gen III Electric species,Fairy egg-group species,,
POCO PATH,Paldea landmark,,,,
POFFIN CASE,Berry-blending ingredient,Unlocks progression content,Progress-gating key item,Adventure utility item,
POFFIN HOUSE,Sinnoh city,Sinnoh landmark,Urban landmark,City in Sinnoh,
POINT CARD,Unlocks progression content,Progress-gating key item,Story or event key item,Unlocking key item,Adventure utility item
POIPOLE,Poison Pin Pokemon,No-Eggs egg-group species,,,
POISON,grass-hitting type,toxic element,battle element,,
POISON BARB,Signature orb for The Holder',Species-specific power orb,,,
POISON FANG,50-power move,poisoning move,,,
POISON GAS,poisoning move,Poison status move,,,
POISON GEM,Held battle item,One-use Poison booster,,,
POISON HEAL,Shroomish And Breloom's signature Ability,poisoning trait,,,
POISONIUM Z BAG,unused,poisoning item,,,
POISON JAB,80-power move,poisoning move,,,
POISON MEMORY,Species-linked power item,Signature battle item,,,
POISON POINT,Punishes contact attackers,Damages foes on contact KO,Contact-backlash trait,poisoning trait,
POISON POWDER,poisoning move,Poison status move,,,
POISON STING,15-power move,poisoning move,,,
POISON TAIL,critical-hit move,50-power move,poisoning move,,
POISON TOUCH,Punishes contact attackers,Damages foes on contact KO,Status-blocking trait,Contact-backlash trait,Prevents major status ailments
POKE BALL,Poor on most other targets,Progress-gating key item,Unlocks progression content,Bug-Catching Contest ball,National Park contest ball
POKEBLOCK CASE,PokBlock-making berry,Berry-blending ingredient,Adventure utility item,,
POKEBLOCK KIT,PokBlock-making berry,Berry-blending ingredient,Adventure utility item,,
POKE DOLL,Exchangeable collectible,Tradable exchange item,spelunking,,
POKE FLUTE,Story or event key item,Story-progress key item,Plot-critical key,Unlocking key item,
POKEMON,core-series location,,,,
POKEMON BOX,Progress-gating key item,Unlocks progression content,unused,,
POKEMON CENTER,regional map location,Gen IV location,,,
POKEMON EVENT,regional map location,Gen IV location,,,
POKEMON FESTA,regional map location,Gen IV location,,,
POKEMON LEAGUE,Island in Paldea,Island location,Paldea island,Regional island,
POKEMON MOVIE,regional map location,Gen IV location,,,
POKEMON RANGER,regional map location,Gen IV location,,,
POKEMON TOWER,Kanto town,Town-side landmark,Town in Kanto,Kanto landmark,
POKEPARK,regional map location,Gen IV location,,,
POKE PELAGO,Island location,Alola landmark,Alola route,Route in Alola,
POKE RADAR,Poor on most other targets,Turns a standard trait rare,Two-wheeled travel item,Unlocks a hidden trait,Unlocks progression content
POKETCH CO,Sinnoh landmark,,,,
POKE TOY,Gen V spelunking,,,,
POKEWALKER,Johto landmark,,,,
POLAR BIOME,Paldea landmark,Located in The Unova Region'S Blueberry Academy,,,
POLAR PLAZA,Paldea landmark,Plaza in Paldea,,,
POLITOED,Frog Pokemon,Gen II Water species,Evolves from Poliwhirl,Water1 egg-group species,
POLIWAG,Tadpole Pokemon,Gen I Water species,Water1 egg-group species,,
POLIWHIRL,Tadpole Pokemon,Gen I Water species,Evolves from Poliwag,Water1 egg-group species,
POLIWRATH,Tadpole Pokemon,Gen I Water/Fighting species,Evolves from Poliwhirl,Water1 egg-group species,
POLLEN PUFF,Bug special move,Gen VII Bug move,90-power move,,
POLTCHAGEIST,Matcha Pokemon,Mineral egg-group species,,,
POLTEAGEIST,Black Tea Pokemon,Gen VIII Ghost species,Evolves from Sinistea,Mineral egg-group species,
POLTERGEIST,Ghost physical move,Gen VIII Ghost move,110-power move,,
POMEG BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,Loamy-soil berry crop
PONI COAST,Alola island,Island in Alola,Regional island,Island location,
PONI GAUNTLET,Alola island,Island in Alola,Regional island,Island location,
PONI GROVE,Alola island,Island in Alola,Regional island,Island location,
PONI MEADOW,Island location,Alola cave,Alola landmark,Cave in Alola,
PONI PLAINS,Island location,Alola meadow,Regional meadow,Alola landmark,Meadow in Alola
PONI WILDS,Island location,Alola village,Alola landmark,Village in Alola,
PONYTA,Fire Horse Pokemon,Gen I Fire species,Ground egg-group species,,
POOCHYENA,Bite Pokemon,Gen III Dark species,Ground egg-group species,,
POPPLIO,Sea Lion Pokemon,Gen VII Water species,Water1 egg-group species,,
PORTO MARINADA,Paldea town,Paldea landmark,Town-side landmark,Town in Paldea,
PORYGON,Virtual Pokemon,Gen I Normal species,Mineral egg-group species,,
PORYGON Z,Virtual Pokemon,Gen IV Normal species,Mineral egg-group species,,
POSTWICK,Galar town,Galar landmark,Town-side landmark,Town in Galar,
POTION,Safari Zone catcher,Pinch-healing berry,Great Marsh capture tool,Restores 20 HP,Half-HP recovery berry
POUNCE,Bug physical move,Stat-lowering move,Gen IX Bug move,50-power move,debuffing move
POUND,Normal physical move,Gen I Normal move,40-power move,,
POWDER JAR,Berry-blending ingredient,Unlocks progression content,Progress-gating key item,Adventure utility item,
POWDER SNOW,Ice special move,Gen II Ice move,40-power move,,
POWER ANKLET,Held battle item,,,,
POWER BAND,effort training,Held battle item,,,
POWER BELT,Held battle item,,,,
POWER BRACER,Held battle item,,,,
POWER GEM,Rock special move,Gen IV Rock move,,,
POWER HERB,Held battle item,,,,
POWER LENS,Held battle item,,,,
POWER NAP,Gen V ability,,,,
POWER PLANT,Kanto city,Kanto landmark,City in Kanto,,
POWER SHIFT,Normal status move,Gen VIII Normal move,boosting move,,
POWER SPLIT,Psychic status move,Gen V Psychic move,,,
POWER SPOT,Stonjourner's signature Ability,Gen VIII ability,,,
POWER SWAP,Psychic status move,Gen IV Psychic move,,,
POWER TRICK,Psychic status move,Gen IV Psychic move,,,
POWER TRIP,Dark physical move,Gen VII Dark move,boosting move,,
POWER UP PUNCH,Fighting physical move,Gen VI Fighting move,boosting move,,
POWER WEIGHT,Held battle item,,,,
POWER WHIP,Grass physical move,Gen IV Grass move,,,
PP MAX,vitamins,boosting item,,,
PP UP,vitamins,boosting item,,,
PRANKSTER,Protects allies from mental moves,Ally mind-shield trait,Guards teammates from mental disruption,Status-blocking trait,Prevents major status ailments
PREMIER BALL,Poor on most other targets,Special Poke Ball,,,
PRESENT,Normal physical move,Gen II Normal move,,,
PRESSURE,Weather-linked trait,,,,
PRETTY WING,Valuable sellable loot,Vendor treasure,,,
PRIDE,Gen V ability,,,,
PRIMARINA,Fairy Pokemon,Gen VII Soloist Pokemon,Gen VII Water/Fairy species,Evolves from Brionne,Water1 egg-group species
PRIMEAPE,Pig Monkey Pokemon,Gen I Fighting species,Evolves from Mankey,Ground egg-group species,
PRIMO,Urban landmark,,,,
PRIMORDIAL SEA,Primal Kyogre's signature Ability,Weather-linked trait,,,
PRINPLUP,Penguin Pokemon,Gen IV Water species,Evolves from Piplup,Water1 egg-group species,
PRISM ARMOR,Gen VII ability,,,,
PRISM SCALE,Feebas evolution item,Evolution-trigger item,Special Poke Ball,Evolves Feebas into Milotic When Traded While Holding It,
PRISM TOWER,Kalos tower,Tower in Kalos,Regional tower,Kalos landmark,Urban landmark
PRISON BOTTLE,Unlocks progression content,Progress-gating key item,Adventure utility item,,
PROBOPASS,Compass Pokemon,Gen IV Rock/Steel species,Evolves from Nosepass,Mineral egg-group species,
PROFS LETTER,Story-progress key item,Plot-critical key,,,
PROP CASE,Unlocks progression content,Progress-gating key item,Adventure utility item,,
PROPELLER TAIL,Arrokuda And Barraskewda's signature Ability,Gen VIII ability,draining ability,switching ability,
PROTEAN,Kecleon's signature Ability,Weather-linked trait,,,
PROTECT,Normal status move,Gen II Normal move,priority move,,
PROTECTOR,Rhydon evolution item,Evolution-trigger item,Evolves Rhydon into Rhyperior When Used On It In Pokemon Legends,,
PROTEIN,Pokemon That Ingests It By Attack boost item,Power item for Pokemon That Ingests It By,,,
PSYBEAM,Psychic special move,Gen I Psychic move,65-power move,,
PSYBLADE,Psychic physical move,Gen IX Psychic move,80-power move,,
PSYCHIC,90-power move,debuffing move,,,
PSYCHIC FANGS,85-power move,Psychic physical move,,,
PSYCHIC GEM,Held battle item,One-use Psychic booster,,,
PSYCHIC MEMORY,Species-linked power item,Signature battle item,,,
PSYCHIC NOISE,75-power move,draining move,healing move,,
PSYCHIC SEED,Held battle item,,,,
PSYCHIC SURGE,Tapu Lele's signature Ability,Gen VII ability,,,
PSYCHO BOOST,Psychic special move,Gen III Psychic move,140-power move,debuffing move,
PSYCHO CUT,Psychic physical move,critical-hit move,Gen IV Psychic move,70-power move,
PSYCHO SHIFT,Psychic status move,Gen IV Psychic move,,,
PSYCH UP,Normal status move,Gen II Normal move,,,
PSYDUCK,Duck Pokemon,Gen I Water species,Water1 egg-group species,,
PSYSHIELD BASH,Psychic physical move,Gen VIII Psychic move,70-power move,boosting move,
PSYSHOCK,Psychic special move,Gen V Psychic move,80-power move,,
PSYSTRIKE,Psychic special move,Gen V Psychic move,100-power move,,
PSYWAVE,Psychic special move,Gen I Psychic move,,,
PUMPKABOO,Pumpkin Pokemon,Gen VI Ghost/Grass species,Indeterminate egg-group species,,
PUNCHING GLOVE,Held battle item,The Holder'S Punching Moves And Prevents Direct Contact With Targets-only held item,,,
PUNISHMENT,Dark physical move,Gen IV Dark move,boosting move,,
PUNK ROCK,Toxtricity's signature Ability,Gen VIII ability,,,
PUPITAR,Hard Shell Pokemon,Gen II Rock/Ground species,Evolves from Larvitar,Monster egg-group species,
PURE INCENSE,Held battle item,,,,
PURE POWER,Meditite And Medicham's signature Ability,Gen III ability,,,
PURIFY,Poison status move,Gen VII Poison move,poisoning move,,
PURIFYING SALT,Nacli'S Evolutionary Line's signature Ability,protective trait,,,
PURPLE NECTAR,species specific,,,,
PURPLE PETAL,Part of the Rainbow Flower,Needed for Mina's Rainbow Flower,One of seven trial finds,Mina's trial collectible,Unlocks progression content
PURRLOIN,Devious Pokemon,Gen V Dark species,Ground egg-group species,,
PURSUIT,Dark physical move,Gen II Dark move,40-power move,switching move,
PURUGLY,Tiger Cat Pokemon,Gen IV Normal species,Evolves from Glameow,Ground egg-group species,
PYROAR,Royal Pokemon,Mega form turns Fire/Normal,Gen VI Fire/Normal species,Evolves from Litleo,Ground egg-group species
PYRO BALL,Fire physical move,burning move,Gen VIII Fire move,120-power move,
PYUKUMUKU,Sea Cucumber Pokemon,Gen VII Water species,Water1 egg-group species,,
QUAGSIRE,Water Fish Pokemon,Gen II Water/Ground species,Evolves from Wooper,Water1 egg-group species,
QUALOT BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,Loamy-soil berry crop
QUAQUAVAL,Dancer Pokemon,Gen IX Water/Fighting species,Evolves from Quaxwell,Flying egg-group species,
QUARK DRIVE,boosting trait,The Futuristic Paradox Pokemon With The Exception Of Miraidon's signature Ability,,,
QUASH,Dark status move,Gen V Dark move,,,
QUAXLY,Duckling Pokemon,Gen IX Water species,Flying egg-group species,,
QUAXWELL,Practicing Pokemon,Gen IX Water species,Evolves from Quaxly,Flying egg-group species,
QUICK ATTACK,Normal physical move,Gen I Normal move,40-power move,priority move,
QUICK BALL,Safari Zone catcher,Great Marsh capture tool,Poor on most other targets,Special Poke Ball,
QUICK CLAW,Safari Zone catcher,Great Marsh capture tool,,,
QUICK DRAW,Galarian Slowbro's signature Ability,Gen VIII ability,priority ability,,
QUICK FEET,paralyzing ability,Gen IV ability,poisoning ability,,
QUICK GUARD,Fighting status move,Gen V Fighting move,priority move,,
QUICK POWDER,Power item for Speed Stat Of A Ditto,Speed Stat Of A Ditto-only held item,Speed Stat Of A Ditto Speed Stat boost item,,
QUILAVA,Volcano Pokemon,Gen II Fire species,Evolves from Cyndaquil,Ground egg-group species,
QUILLADIN,Spiny Armor Pokemon,Gen VI Grass species,Evolves from Chespin,Ground egg-group species,
QUIVER DANCE,Bug status move,Gen V Bug move,boosting move,,
QWILFISH,Balloon Pokemon,Gen II Water/Poison species,Water2 egg-group species,,
RABOOT,Rabbit Pokemon,Gen VIII Fire species,Evolves from Scorbunny,Ground egg-group species,
RABSCA,Rolling Pokemon,Gen IX Bug/Psychic species,Evolves from Rellor,Bug egg-group species,
RABUTA BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,Loamy-soil berry crop
RADIANT PETAL,Unlocks progression content,Progress-gating key item,Story-progress key item,Plot-critical key,
RADIO TOWER,Johto town,Johto landmark,Town-side landmark,Urban landmark,Town in Johto
RAGE FIST,Ghost physical move,Gen IX Ghost move,50-power move,switching move,
RAGE POWDER,Bug status move,Gen V Bug move,priority move,,
RAGING BOLT,Paradox Pokemon,No-Eggs egg-group species,,,
RAGING BULL,Normal physical move,Gen IX Normal move,90-power move,,
RAGING FURY,Fire physical move,paralyzing move,Gen VIII Fire move,120-power move,flinch-causing move
RAICHU,Mouse Pokemon,Gen I Electric species,Evolves from Pikachu,Ground egg-group species,
RAIKOU,Legendary Pokemon,Gen II Thunder Pokemon,No-Eggs egg-group species,,
RAINBOW FLOWER,One of seven trial finds,Mina's trial collectible,Unlocks progression content,Progress-gating key item,
RAINBOW PASS,Event-only distribution item,Unlocks progression content,Limited event key item,Progress-gating key item,Story or event key item
RAINBOW WING,Story-progress key item,Plot-critical key,,,
RAIN DANCE,Water status move,Gen II Water move,,,
RAIN DISH,Lotad'S Evolutionary Line's signature Ability,Weather-linked trait,,,
RALTS,Fairy Pokemon,Gen III Feeling Pokemon,Gen III Psychic/Fairy species,Humanshape egg-group species,
RAMANAS ISLAND,Hisui landmark,Located in The Southwestern Waters Of The Obsidian Fieldlands Of Hisui,,,
RAMPARDOS,Head Butt Pokemon,Evolves from Cranidos,Monster egg-group species,,
RAPIDASH,Fire Horse Pokemon,Gen I Fire species,Evolves from Ponyta,Ground egg-group species,
RAPID SPIN,Normal physical move,Gen II Normal move,50-power move,,
RARE BONE,Valuable sellable loot,Vendor treasure,,,
RATICATE,Mouse Pokemon,Gen I Normal species,Evolves from Rattata,Ground egg-group species,
RATTATA,Mouse Pokemon,Gen I Normal species,Ground egg-group species,,
RATTLED,boosting trait,,,,
RAVAGED PATH,Site on Route 204,Sinnoh town,Sinnoh landmark,Town-side landmark,Urban landmark
RAWST BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,
RAYQUAZA,Legendary Pokemon,Gen III Sky High Pokemon,Mega form turns Dragon/Flying,No-Eggs egg-group species,
RAZOR CLAW,Johtonian Sneasel evolution item,Power item for The Holder By One Stage,The Holder By One Stage-only held item,Held item for Weavile When Leveled Up At Night,Evolves Johtonian Sneasel into Weavile When Leveled Up At Night
RAZOR FANG,Gligar evolution item,Evolves Gligar into Gliscor When Leveled Up At Night While Holding It,,,
RAZOR LEAF,Grass physical move,critical-hit move,Gen I Grass move,55-power move,
RAZOR SHELL,Water physical move,Gen V Water move,75-power move,debuffing move,
RAZOR WIND,Normal special move,Gen I Normal move,80-power move,,
RAZZ BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,Loamy-soil berry crop
REAPER CLOTH,Dusclops evolution item,Evolution-trigger item,Evolves Dusclops into Dusknoir When Traded While Holding It,,
